douban_id,imdb
19955811,tt3801412
19955815,tt3109410
19955816,tt13689386
19955821,tt2377276
19955828,tt2406252
19955834,tt2305398
19955871,tt2509922
19955955,tt2301592
19956493,tt2093067
19956506,tt1401123
19956560,tt2185262
19956567,tt2153927
19956600,tt2379318
19956666,tt2372294
19956776,tt4769708
19957028,tt2116141
19957083,tt2637276
19957084,tt1954258
19957085,tt2302575
19957388,tt2393440
19957505,tt2404645
19957672,tt2337445
19958041,tt1308125
19958256,tt2256739
19958294,tt0089266
19958325,tt2222352
19958357,tt1326805
19958358,tt2118737
19958371,tt2386906
19958399,tt1844635
19959647,tt0212671
19959662,tt2362962
19959764,tt1571972
19959800,tt1725067
19959816,tt2402600
19960325,tt2295953
19960694,tt2398282
19961057,tt2359365
19961072,tt2412556
19961080,tt2412560
19961081,tt2434530
19961084,tt0316933
19961086,tt2404370
19961087,tt3924828
19961091,tt0135465
19961094,tt2520456
19961104,tt2600514
19961107,tt2644800
19961109,tt2857478
19961111,tt0508108
19961116,tt11564648
19961124,tt2421324
19961129,tt0508247
19961131,tt0508326
19961139,tt2411114
19961143,tt3204012
19961170,tt2177180
19961173,tt2438272
19961176,tt2823010
19961181,tt6850910
19961188,tt2398338
19961196,tt2609072
19961256,tt2391599
19961311,tt2670440
19961339,tt2400308
19961340,tt1478330
19961341,tt0330055
19961342,tt1961395
19961345,tt2379807
19961346,tt2386556
19961347,tt2296682
19961351,tt2072134
19961354,tt2075373
19961357,tt0708625
19961358,tt0708976
19961359,tt2386354
19961360,tt2241676
19961361,tt2402207
19961362,tt0365663
19961485,tt2400660
19962267,tt1402152
19962278,tt1357816
19962283,tt1450973
19962285,tt1562697
19962290,tt1415074
19962295,tt1378089
19962299,tt1121448
19962301,tt1593036
19962302,tt1709423
19962303,tt1837243
19962304,tt1989900
19962305,tt2051340
19962307,tt2079067
19962308,tt2135448
19962314,tt2321462
19962493,tt0002973
19962494,tt2325097
19962538,tt2385882
19962556,tt2392672
19962568,tt8083810
19962576,tt10399522
19962579,tt6964088
19962582,tt7267948
19962587,tt2976864
19962596,tt4162910
19962599,tt4774224
19962668,tt7529622
19962700,tt3425132
19962708,tt2904656
19962790,tt19770688
19962791,tt2555422
19962860,tt0708636
19962861,tt0394906
19962863,tt0708499
19962868,tt1678055
19962883,tt0258179
19962886,tt0024777
19962888,tt0027678
19962907,tt2071458
19962943,tt0109994
19963061,tt1499694
19963063,tt0759945
19963069,tt0759927
19963275,tt0182309
19963279,tt0200426
19963283,tt0064322
19963285,tt1291144
19963331,tt2254260
19963388,tt2335528
19963389,tt0123996
19963428,tt0144889
19963449,tt0361434
19963455,tt0042378
19963464,tt0381182
19963485,tt0288127
19963487,tt0234071
19963488,tt0331084
19963570,tt1893371
19963572,tt0197558
19963599,tt0493992
19963601,tt1228795
19963748,tt2424534
19963859,tt1826625
19963860,tt2279105
19963861,tt2120843
19963862,tt2378884
19963868,tt0187375
19963871,tt2846682
19963875,tt3770464
19963883,tt2593068
19963885,tt2802552
19963888,tt3109468
19963894,tt2166488
19963896,tt38785840
19963917,tt1346881
19963931,tt6072460
19963932,tt2927050
19963933,tt2731868
19963938,tt0907881
19963939,tt2429804
19963954,tt8860928
19963963,tt2989496
19963965,tt2989474
19963966,tt2987084
19963971,tt2982110
19963997,tt4029262
19964001,tt2361309
19964002,tt2827386
19964004,tt0077284
19964005,tt2421616
19964006,tt3215124
19964010,tt2165959
19964021,tt2014270
19964057,tt1687366
19964058,tt1988951
19964173,tt0231548
19964353,tt2292989
19964354,tt1226779
19964637,tt2314792
