douban_id,imdb_id,Title,Year,Directors,Actors,Genres,Country,Runtime,YourRating_douban,YourRating_imdb,DateRated_First,DateRated_douban,DateRated_imdb,PublicRating_douban,Votes_douban,PublicRating_imdb,Votes_imdb,URL_douban,URL_imdb
1297311.0,tt0118789,水牛城66,1998,文森特·加洛,"文森特·加洛, 克里斯蒂娜·里奇, 本·戈扎那","剧情, 喜剧, 爱情",美国 加拿大,110.0,3.0,7.0,2022-12-26,2022-12-26,2023-02-28,8.4,59110.0,7.4,65134.0,https://movie.douban.com/subject/1297311/,https://www.imdb.com/title/tt0118789/
1292063.0,tt0118799,美丽人生,1997,罗伯托·贝尼尼,"罗伯托·贝尼尼, 尼可莱塔·布拉斯基, 乔治·坎塔里尼","剧情, 喜剧, 爱情",意大利,116.0,5.0,10.0,2017-08-23,2017-08-23,2017-08-24,9.5,1447666.0,8.6,786841.0,https://movie.douban.com/subject/1292063/,https://www.imdb.com/title/tt0118799/
1293236.0,tt0118843,黑猫白猫,1998,埃米尔·库斯图里察,"斯尔詹·托多罗维奇, 布兰卡·卡蒂奇, 巴伊拉姆·瑟瓦丹","喜剧, 爱情, 音乐",南斯拉夫 法国 德国 奥地利 希腊,127.0,4.0,9.0,2024-03-20,2024-03-20,2024-04-12,8.5,31280.0,8.0,57924.0,https://movie.douban.com/subject/1293236/,https://www.imdb.com/title/tt0118843/
1292679.0,tt0118845,春光乍泄,1997,王家卫,"张国荣, 梁朝伟, 张震","剧情, 爱情, 同性",中国香港 日本 韩国,96.0,5.0,9.0,2016-12-29,2016-12-29,2018-09-28,9.0,696069.0,7.7,36926.0,https://movie.douban.com/subject/1292679/,https://www.imdb.com/title/tt0118845/
1303021.0,tt0118849,小鞋子,1997,马基德·马基迪,"默罕默德·阿米尔·纳吉, 阿米尔·法拉赫·哈什米安, 巴哈丽·西迪奇","剧情, 家庭, 儿童",伊朗,89.0,5.0,10.0,2018-01-08,2018-01-08,2018-01-20,9.2,452755.0,8.2,87073.0,https://movie.douban.com/subject/1303021/,https://www.imdb.com/title/tt0118849/
1295647.0,tt0118884,超时空接触,1997,罗伯特·泽米吉斯,"朱迪·福斯特, 吉娜·马隆, 大卫·摩斯","剧情, 科幻, 悬疑",美国,150.0,3.0,6.0,2021-02-26,2021-02-26,2022-07-24,8.4,126993.0,7.5,305583.0,https://movie.douban.com/subject/1295647/,https://www.imdb.com/title/tt0118884/
1298385.0,tt0118954,解构爱情狂,1997,伍迪·艾伦,"伍迪·艾伦, 罗宾·威廉姆斯, 黛米·摩尔",喜剧,美国,96.0,5.0,10.0,2021-07-12,2021-07-12,2022-07-24,8.6,46096.0,7.3,49519.0,https://movie.douban.com/subject/1298385/,https://www.imdb.com/title/tt0118954/
1298909.0,tt0118971,魔鬼代言人,1997,泰勒·海克福德,"基努·里维斯, 阿尔·帕西诺, 查理兹·塞隆","剧情, 悬疑, 惊悚",美国 德国,144.0,4.0,8.0,2024-08-19,2024-08-19,2025-08-16,8.4,191532.0,7.5,429053.0,https://movie.douban.com/subject/1298909/,https://www.imdb.com/title/tt0118971/
1292659.0,tt0119094,变脸,1997,吴宇森,"约翰·特拉沃尔塔, 尼古拉斯·凯奇, 琼·艾伦","动作, 科幻, 惊悚",美国,138.0,4.0,8.0,2018-09-19,2018-09-19,2019-01-03,8.5,401289.0,7.3,417613.0,https://movie.douban.com/subject/1292659/,https://www.imdb.com/title/tt0119094/
1293531.0,tt0119116,第五元素,1997,吕克·贝松,"布鲁斯·威利斯, 加里·奥德曼, 米拉·乔沃维奇","动作, 科幻, 冒险",法国 英国 美国,126.0,4.0,8.0,2017-07-26,2017-07-26,2017-08-15,8.0,211583.0,7.6,531272.0,https://movie.douban.com/subject/1293531/,https://www.imdb.com/title/tt0119116/
