Const,Your Rating,Date Rated,Title,Directors,Actors,Country,Year,Genres,Douban Rating,Num Votes,MyComment,URL,Cover URL,douban_id
,4,2023-11-24,赛德克·巴莱,魏德圣,"林庆台, 马志翔, 安藤政信",中国台湾,2012,"剧情, 历史, 战争",8.8,197852,,https://movie.douban.com/subject/3993559/,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p1320085389.jpg,3993559
tt2575988,4,2023-11-24,硅谷 第一季,"迈克·乔吉, 亚力克·博格","托马斯·米德蒂奇, T·J·米勒, 马丁·斯塔尔",美国,2014,喜剧,9.1,62358,,https://movie.douban.com/subject/20644938/,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2172371194.jpg,20644938
tt12590266,3,2023-11-22,赛博朋克：边缘行者 第一季,今石洋之,"大桥贤一郎, 悠木碧, 黑泽朋世",日本 美国 波兰,2022,"动作, 科幻, 动画",9.0,186368,,https://movie.douban.com/subject/35118256/,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2877118797.jpg,35118256
tt14810692,4,2023-11-22,摩加迪沙,柳昇完,"金伦奭, 赵寅成, 许峻豪",韩国,2021,"剧情, 动作",8.1,115959,,https://movie.douban.com/subject/33457594/,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2697816056.jpg,33457594
tt0080339,4,2023-11-19,空前绝后满天飞,"大卫·扎克, 杰瑞·扎克, 吉姆·艾布拉姆斯","卡里姆·阿卜杜尔-贾巴尔, 劳埃德·布里吉斯, 皮特·格拉维斯",美国,1980,喜剧,7.5,21326,,https://movie.douban.com/subject/1292785/,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2404954511.jpg,1292785
tt0037059,4,2023-11-17,火树银花,文森特·明奈利,"朱迪·加兰, 玛格丽特·奥布赖恩, 玛丽·阿斯特",美国,1944,"爱情, 歌舞, 家庭",7.4,1937,,https://movie.douban.com/subject/1295445/,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2308582409.jpg,1295445
tt5989220,3,2023-11-15,克莱尔的相机,洪常秀,"伊莎贝尔·于佩尔, 金敏喜, 郑镇荣",韩国 法国,2017,剧情,6.7,13864,,https://movie.douban.com/subject/26791627/,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2458800256.jpg,26791627
tt7599146,4,2023-11-14,自由之声,亚历杭德罗·戈麦斯·蒙特维尔德,"吉姆·卡维泽, 比尔·坎普, 克里斯特尔·阿帕里西奥",美国,2023,"动作, 传记, 犯罪",7.7,28730,,https://movie.douban.com/subject/30454682/,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2893085018.jpg,30454682
tt0091190,4,2023-11-14,黑炮事件,黄建新,"刘子枫, 盖尔哈德·奥尔谢夫斯基, 高明",中国大陆,1986,"剧情, 喜剧",8.7,60641,,https://movie.douban.com/subject/1434269/,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2591996324.jpg,1434269
tt13880104,3,2023-11-10,正发生,奥黛丽·迪万,"安娜玛丽亚·沃特鲁梅, 卡西·莫泰·克莱恩, 卢安娜·巴杰拉米",法国,2021,剧情,8.2,39090,,https://movie.douban.com/subject/35318021/,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2872897338.jpg,35318021
tt14208870,4,2023-11-02,造梦之家,史蒂文·斯皮尔伯格,"米歇尔·威廉姆斯, 保罗·达诺, 塞斯·罗根",美国,2022,"剧情, 家庭",7.4,51044,,https://movie.douban.com/subject/35390098/,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2892195504.jpg,35390098
tt3697626,3,2023-10-29,走到尽头,金成勋,"李善均, 赵震雄, 申正根",韩国,2014,"动作, 惊悚, 犯罪",8.0,112927,,https://movie.douban.com/subject/25766529/,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2183957412.jpg,25766529
tt10208198,3,2023-10-29,恶人传,李元泰,"马东锡, 金武烈, 金成圭",韩国,2019,"剧情, 动作, 犯罪",7.8,298682,,https://movie.douban.com/subject/30211551/,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2555084871.jpg,30211551
tt6048922,4,2023-10-28,灰猎犬号,亚伦·施耐德,"汤姆·汉克斯, 斯蒂芬·格拉汉姆, 伊丽莎白·苏",美国 加拿大 中国大陆,2020,"剧情, 战争",7.8,120102,,https://movie.douban.com/subject/26871906/,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2591289975.jpg,26871906
tt0435761,4,2023-10-27,玩具总动员3,李·昂克里奇,"汤姆·汉克斯, 蒂姆·艾伦, 琼·库萨克",美国,2010,"喜剧, 动画, 奇幻",8.9,577846,,https://movie.douban.com/subject/1858711/,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p1283675359.jpg,1858711
tt9362722,3,2023-10-26,蜘蛛侠：纵横宇宙,"乔伊姆·多斯·桑托斯, 凯普·鲍尔斯, 贾斯汀·汤普森","沙梅克·摩尔, 海莉·斯坦菲尔德, 奥斯卡·伊萨克",美国,2023,"喜剧, 动作, 科幻",8.5,493053,,https://movie.douban.com/subject/30391186/,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2892315297.jpg,30391186
tt0258885,4,2023-10-26,站台,贾樟柯,"王宏伟, 赵涛, 梁景东",中国大陆 中国香港 日本 法国,2000,"剧情, 历史",8.4,77826,,https://movie.douban.com/subject/1291850/,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p1910910474.jpg,1291850
tt1498858,4,2023-10-23,海洋天堂,薛晓路,"李连杰, 文章, 桂纶镁",中国大陆 中国香港,2010,剧情,8.0,154739,,https://movie.douban.com/subject/4004731/,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p504314075.jpg,4004731
tt2361509,3,2023-10-22,实习生,南希·迈耶斯,"罗伯特·德尼罗, 安妮·海瑟薇, 蕾妮·罗素",美国,2015,喜剧,8.0,353715,,https://movie.douban.com/subject/10594965/,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2260497287.jpg,10594965
tt2113822,3,2023-10-22,一九四二,冯小刚,"张国立, 张默, 徐帆",中国大陆,2012,"剧情, 历史, 战争",8.2,367983,,https://movie.douban.com/subject/6011805/,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p1767539900.jpg,6011805
tt14444726,3,2023-10-22,塔尔,托德·菲尔德,"凯特·布兰切特, 诺米·梅兰特, 尼娜·霍斯",美国,2022,"剧情, 音乐",7.4,32579,,https://movie.douban.com/subject/35430833/,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2883951104.jpg,35430833
